brightness,dark_share,saturation,red_share,palette,palette_share,id,title,year
17.6,0.7352,0.4834,0.0336,"[""#141215"", ""#342117"", ""#96888c"", ""#846c2e"", ""#ddc528""]","[0.571, 0.302, 0.057, 0.041, 0.03]",227432,Swamp of the Lost Monster,1957
41.68,0.3248,0.2409,0.0,"[""#091110"", ""#1f302f"", ""#485e5c"", ""#859e9e"", ""#bccecc""]","[0.28, 0.23, 0.181, 0.17, 0.139]",127401,The Tell-Tale Heart,1953
68.7,0.006,0.4653,0.4774,"[""#f8443d"", ""#f8f6f2"", ""#764b34"", ""#b99538"", ""#d89f90""]","[0.595, 0.115, 0.114, 0.101, 0.074]",34077,The Giant Gila Monster,1959
52.6,0.2356,0.1242,0.0299,"[""#343135"", ""#858a92"", ""#f6f5f4"", ""#be986e"", ""#e15537""]","[0.396, 0.333, 0.143, 0.072, 0.056]",35813,The Bat,1959
28.44,0.5302,0.4549,0.1709,"[""#150c0c"", ""#563029"", ""#c1b0aa"", ""#301c45"", ""#be3c3a""]","[0.498, 0.216, 0.123, 0.085, 0.078]",390538,The Vampire Moth,1956
45.8,0.0001,0.1041,0.0,"[""#424143"", ""#979497"", ""#666668"", ""#fa6fb5"", ""#dc98ba""]","[0.326, 0.222, 0.198, 0.189, 0.065]",331104,Serangan Orang Minyak,1959
45.35,0.2363,0.5587,0.292,"[""#b83a36"", ""#21140e"", ""#ad8a5d"", ""#dec65a"", ""#603826""]","[0.237, 0.212, 0.195, 0.186, 0.171]",136852,The Curse of the Aztec Mummy,1957
56.7,0.1728,0.395,0.189,"[""#d27550"", ""#d65b35"", ""#d1af68"", ""#e3dfc2"", ""#211815""]","[0.34, 0.244, 0.155, 0.148, 0.112]",883977,The Rockingham Tea Set,1950
49.61,0.1992,0.4066,0.1556,"[""#252039"", ""#6c4e3e"", ""#c7ad48"", ""#e6cbb8"", ""#d85f49""]","[0.267, 0.263, 0.194, 0.141, 0.135]",94656,Castle of the Monsters,1958
41.06,0.3681,0.2451,0.0,"[""#0f1013"", ""#2a2b61"", ""#66666b"", ""#d4d7d7"", ""#ddd28d""]","[0.361, 0.254, 0.165, 0.144, 0.076]",140680,The Fall of the House of Usher,1950
57.4,0.1997,0.3038,0.0846,"[""#292e32"", ""#e6e379"", ""#ce634f"", ""#b9b1ae"", ""#82cc69""]","[0.306, 0.242, 0.185, 0.164, 0.104]",32623,Night of the Ghouls,1959
39.6,0.206,0.3618,0.2209,"[""#313435"", ""#ed4a47"", ""#356882"", ""#88463d"", ""#d3c9a5""]","[0.334, 0.244, 0.228, 0.103, 0.092]",344459,Have Mercy,1953
39.05,0.2486,0.6201,0.1946,"[""#624123"", ""#2b0f09"", ""#c15a2a"", ""#caa67a"", ""#efed35""]","[0.419, 0.292, 0.115, 0.113, 0.062]",52204,The Brain Eaters,1958
64.0,0.02,0.8588,0.4666,"[""#f64815"", ""#fdd901"", ""#a53c1c"", ""#cf9c24"", ""#70604e""]","[0.436, 0.355, 0.101, 0.054, 0.054]",11549,Invasion of the Body Snatchers,1956
34.69,0.2914,0.3748,0.3221,"[""#91402a"", ""#291a19"", ""#5f5654"", ""#b97524"", ""#c7c1bf""]","[0.413, 0.305, 0.128, 0.1, 0.054]",36918,The Emperor and the Golem,1952
26.58,0.5924,0.5041,0.1116,"[""#1f1a1b"", ""#5f311a"", ""#b9511f"", ""#f89c05"", ""#d8d84c""]","[0.405, 0.212, 0.175, 0.173, 0.034]",38261,Voodoo Woman,1957
40.92,0.4311,0.6871,0.3391,"[""#210605"", ""#5b1612"", ""#d3b89d"", ""#f1ef1a"", ""#c1331a""]","[0.424, 0.22, 0.13, 0.121, 0.106]",29393,Macabre,1958
65.04,0.1063,0.3985,0.0512,"[""#f5e84e"", ""#3c3e3b"", ""#b36744"", ""#9e9e53"", ""#eadad0""]","[0.35, 0.204, 0.179, 0.162, 0.106]",38260,Voodoo Island,1957
42.76,0.3288,0.0,0.0,"[""#161616"", ""#9f9f9f"", ""#cacaca"", ""#6e6e6e"", ""#3c3c3c""]","[0.302, 0.212, 0.189, 0.158, 0.139]",135806,Ghost Stories of Wanderer at Honjo,1957
34.17,0.4322,0.4676,0.3872,"[""#1b0f0e"", ""#5b1d15"", ""#b5311f"", ""#b07d6e"", ""#eee4e0""]","[0.345, 0.256, 0.243, 0.09, 0.066]",90111,The Man and the Monster,1959
50.74,0.0344,0.3448,0.0943,"[""#563837"", ""#806559"", ""#9e8f48"", ""#d1c8af"", ""#edd31d""]","[0.352, 0.262, 0.172, 0.144, 0.069]",147941,Curse of the Undead,1959
52.65,0.1696,0.3081,0.1795,"[""#1f1e2b"", ""#c7c0b9"", ""#965555"", ""#b12129"", ""#61707c""]","[0.287, 0.231, 0.19, 0.174, 0.118]",413465,Ghost Man,1954
46.85,0.2564,0.0003,0.0,"[""#aaaaaa"", ""#1c1c1c"", ""#828282"", ""#494949"", ""#e1e2e1""]","[0.271, 0.258, 0.203, 0.162, 0.104]",284125,Ghostbreakers,1967
